"filename", "language", "C++", "ABC", "TypeScript", "Python", "JavaScript", "comment", "blank", "total"
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/RichButton.hpp", "C++", 75, 0, 0, 0, 0, 0, 6, 81
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/SideMenuButtons.hpp", "C++", 45, 0, 0, 0, 0, 1, 1, 47
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/index.js", "JavaScript", 0, 0, 0, 0, 93, 5, 1, 99
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/index.ts", "TypeScript", 0, 0, 72, 0, 0, 5, 12, 89
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/midifile/Binasc.cpp", "C++", 1440, 0, 0, 0, 0, 281, 292, 2013
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/midifile/MidiEvent.cpp", "C++", 156, 0, 0, 0, 0, 71, 73, 300
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/midifile/MidiEventList.cpp", "C++", 272, 0, 0, 0, 0, 228, 125, 625
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/midifile/MidiFile.cpp", "C++", 1921, 0, 0, 0, 0, 852, 667, 3440
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/midifile/MidiMessage.cpp", "C++", 1167, 0, 0, 0, 0, 636, 501, 2304
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/midifile/Options.cpp", "C++", 607, 0, 0, 0, 0, 308, 305, 1220
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/sandbox/abc_to_midi.py", "Python", 0, 0, 0, 3, 0, 0, 2, 5
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/sandbox/example.abc", "ABC", 0, 10, 0, 0, 0, 0, 1, 11
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/sandbox/prompting_tester.py", "Python", 0, 0, 0, 35, 0, 0, 11, 46
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/test.abc", "ABC", 0, 14, 0, 0, 0, 0, 0, 14
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/util.cpp", "C++", 35, 0, 0, 0, 0, 0, 5, 40
"/Users/AppleBird/Documents/programming/VSCodeProject/siv3d_v0.6.13_macOS/examples/GraziePianoTuner4/src/util.hpp", "C++", 21, 0, 0, 0, 0, 0, 5, 26
"Total", "-", 7888, 24, 72, 38, 93, 2601, 2285, 13001
